"prov_geo";"mean_on_track";"sd_on_track";"lower95";"upper95"
"Eastern Cape";0,347656810724091;0,0109403487275917;0,327720908363938;0,360801630434783
"Free State";0,320396857122106;0,00596707032076242;0,311563876651982;0,329482286233371
"Gauteng";0,494236978105345;0,00925299798382063;0,483209099539397;0,507930672268908
"KwaZulu-Natal";0,285822810320902;0,0166232230063526;0,260548321541472;0,31062421185372
"Limpopo";0,462322274881517;0,0172857693133326;0,439218009478673;0,492357819905213
"Mpumalanga";0,628720928397867;0,00718050639411787;0,61610337972167;0,640178571428571
"North West";0,448291571753986;0,00857708200239509;0,436104783599089;0,460876993166287
"Northern Cape";0,360543081268208;0,011539052993732;0,344003435953821;0,378522366538496
"Western Cape";0,570454545454545;0;0,570454545454545;0,570454545454545
